ticker,name,weight_pct,quantity,market_value_krw,close_price,price_change,return_1w_pct,yfinance_ticker
000660,SK하이닉스,19.8,2473.0,3214900000.0,1300000.0,76000.0,6.21,000660.KS
005930,삼성전자,16.8,12328.0,2736816000.0,222000.0,3000.0,1.37,005930.KS
402340,SK스퀘어,16.5,3309.0,2683599000.0,811000.0,93000.0,12.95,402340.KS
139260,TIGER 200 IT,10.8,15296.0,1748026880.0,114280.0,7945.0,7.47,139260.KS
009150,삼성전기,10.4,2008.0,1684712000.0,839000.0,67000.0,8.68,009150.KS
006400,삼성SDI,9.2,2195.0,1492600000.0,680000.0,35000.0,5.43,006400.KS
042700,한미반도체,3.4,1523.0,558941000.0,367000.0,72000.0,24.41,042700.KS
066570,LG전자,3.4,3906.0,546840000.0,140000.0,13400.0,10.58,066570.KS
003550,LG,2.0,3306.0,324649200.0,98200.0,3200.0,3.37,003550.KS
011070,LG이노텍,1.8,516.0,297732000.0,577000.0,152000.0,35.76,011070.KS
007660,이수페타시스,1.8,1974.0,297284400.0,150600.0,17400.0,13.06,007660.KS
018260,삼성에스디에스,1.5,1377.0,237532500.0,172500.0,-7700.0,-4.27,018260.KS
034220,LG디스플레이,0.8,10537.0,134346750.0,12750.0,-2020.0,-13.68,034220.KS
064400,LG씨엔에스,0.7,1726.0,116505000.0,67500.0,500.0,0.75,064400.KS
307950,현대오토에버,0.7,230.0,109940000.0,478000.0,35500.0,8.02,307950.KS
022100,포스코DX,0.4,1822.0,66685200.0,36600.0,1950.0,5.63,022100.KS
