ticker,name,weight_pct,quantity,market_value_krw,close_price,price_change,return_1w_pct,yfinance_ticker
42700,한미반도체,0.2,104,38168000,367000,72000,24.41,042700.KS
207940,삼성바이오로직스,0.2,25,37600000,1504000,-84000,-5.29,207940.KS
66570,LG전자,0.2,265,37100000,140000,13400,10.58,066570.KS
34730,SK,0.2,87,36018000,414000,27500,7.12,034730.KS
810,삼성화재,0.2,74,35742000,483000,15000,3.21,000810.KS
17670,SK텔레콤,0.2,365,35332000,96800,-3700,-3.68,017670.KS
15760,한국전력,0.1,774,34597800,44700,-1300,-2.83,015760.KS
30200,KT,0.1,539,32825100,60900,-1800,-2.87,030200.KS
267250,HD현대,0.1,110,30855000,280500,23500,9.14,267250.KS
79550,LIG디펜스앤에어로스페이스,0.1,33,30789000,933000,24000,2.64,079550.KS
720,현대건설,0.1,181,30245100,167100,-7800,-4.46,000720.KS
10130,고려아연,0.1,18,29286000,1627000,-43000,-2.57,010130.KS
47810,한국항공우주,0.1,173,29064000,168000,-14500,-7.95,047810.KS
278470,에이피알,0.1,59,27081000,459000,49000,11.95,278470.KS
71050,한국금융지주,0.1,100,25850000,258500,-3500,-1.34,071050.KS
150,두산,0.1,16,25328000,1583000,174000,12.35,000150.KS
96770,SK이노베이션,0.1,182,24206000,133000,-500,-0.37,096770.KS
3670,포스코퓨처엠,0.1,87,22881000,263000,6500,2.53,003670.KS
3550,LG,0.1,223,21898600,98200,3200,3.37,003550.KS
138040,메리츠금융지주,0.1,189,21791700,115300,-1500,-1.28,138040.KS
28050,삼성E&A,0.1,386,21731800,56300,4600,8.9,028050.KS
86280,현대글로비스,0.1,90,21105000,234500,1000,0.43,086280.KS
323410,카카오뱅크,0.1,833,20783350,24950,,,323410.KS
272210,한화시스템,0.1,173,20742700,119900,-11500,-8.75,272210.KS
11070,LG이노텍,0.1,35,20195000,577000,152000,35.76,011070.KS
259960,크래프톤,0.1,71,20128500,283500,28500,11.18,259960.KS
7660,이수페타시스,0.1,133,20029800,150600,17400,13.06,007660.KS
5830,DB손해보험,0.1,108,18738000,173500,2800,1.64,005830.KS
47040,대우건설,0.1,491,18240650,37150,4300,13.09,047040.KS
16360,삼성증권,0.1,150,16680000,111200,800,0.72,016360.KS
6260,LS,0.1,41,16502500,402500,65000,19.26,006260.KS
18260,삼성에스디에스,0.1,94,16215000,172500,-7700,-4.27,018260.KS
11200,HMM,0.1,766,15894500,20750,-350,-1.66,011200.KS
39490,키움증권,0.1,35,15592500,445500,-6000,-1.33,039490.KS
3490,대한항공,0.1,626,15243100,24350,-1250,-4.88,003490.KS
24110,기업은행,0.1,667,15007500,22500,-50,-0.22,024110.KS
100,유한양행,0.1,148,13867600,93700,-2800,-2.9,000100.KS
66970,엘앤에프,0.1,67,13735000,205000,8600,4.38,066970.KS
180640,한진칼,0.1,115,13190500,114700,-4300,-3.61,180640.KS
352820,하이브,0.1,53,13170500,248500,-500,-0.2,352820.KS
9830,한화솔루션,0.1,266,13140400,49400,3950,8.69,009830.KS
3230,삼양식품,0.1,10,12850000,1285000,-74000,-5.45,003230.KS
1440,대한전선,0.1,276,12668400,45900,4350,10.47,001440.KS
5940,NH투자증권,0.1,360,12618000,35050,-900,-2.5,005940.KS
10060,OCI홀딩스,0.1,33,12127500,367500,69000,23.12,010060.KS
10950,S-Oil,0.1,102,12107400,118700,4400,3.85,010950.KS
138930,BNK금융지주,0.1,634,11957240,18860,30,0.16,138930.KS
