ticker,name,weight_pct,quantity,market_value_krw,close_price,price_change,return_1w_pct,yfinance_ticker
KR4A01660005,코스피200 F 202606,54.2,50.39,12621435250,250475000,9200000,3.81,KR4A01660005
5930,삼성전자,11,11508,2554776000,222000,3000,1.37,005930.KS
102110,TIGER 200,10.4,23957.36,2413704020,100750,3705,3.82,102110.KS
660,SK하이닉스,7.8,1390,1807000000,1300000,76000,6.21,000660.KS
5380,현대차,0.8,332,184260000,555000,9000,1.65,005380.KS
402340,SK스퀘어,0.8,225,182475000,811000,93000,12.95,402340.KS
34020,두산에너빌리티,0.6,1056,134956800,127800,12100,10.46,034020.KS
105560,KB금융,0.5,798,126722400,158800,-1600,-1,105560.KS
9150,삼성전기,0.5,136,114104000,839000,67000,8.68,009150.KS
12450,한화에어로스페이스,0.5,81,112995000,1395000,4000,0.29,012450.KS
55550,신한지주,0.4,1035,103396500,99900,100,0.1,055550.KS
6400,삼성SDI,0.4,150,102000000,680000,35000,5.43,006400.KS
270,기아,0.4,596,92737600,155600,-4400,-2.75,000270.KS
68270,셀트리온,0.3,381,78867000,207000,4000,1.97,068270.KS
5490,POSCO홀딩스/포스코홀딩스,0.3,169,78838500,466500,45000,10.68,005490.KS
86790,하나금융지주,0.3,616,78232000,127000,4000,3.25,086790.KS
28260,삼성물산,0.3,245,75827500,309500,5500,1.81,028260.KS
35420,네이버/NAVER,0.3,335,73532500,219500,5500,2.57,035420.KS
12330,현대모비스,0.3,151,67497000,447000,,,012330.KS
267260,HD현대일렉트릭,0.3,54,66852000,1238000,180000,17.01,267260.KS
373220,LG에너지솔루션,0.2,122,57584000,472000,-6000,-1.26,373220.KS
316140,우리금융지주,0.2,1646,55141000,33500,-2300,-6.42,316140.KS
10140,삼성중공업,0.2,1626,54227100,33350,3150,10.43,010140.KS
329180,HD현대중공업,0.2,81,54027000,667000,91000,15.8,329180.KS
9540,HD한국조선해양,0.2,115,53877500,468500,41000,9.59,009540.KS
32830,삼성생명,0.2,207,52164000,252000,-4000,-1.56,032830.KS
298040,효성중공업,0.2,12,47712000,3976000,974000,32.45,298040.KS
6800,미래에셋증권,0.2,680,46580000,68500,-300,-0.44,006800.KS
10120,LS ELECTRIC,0.2,173,45239500,261500,76800,41.58,010120.KS
51910,LG화학,0.2,113,44522000,394000,4500,1.16,051910.KS
64350,현대로템,0.2,181,44254500,244500,23000,10.38,064350.KS
42660,한화오션,0.2,324,43383600,133900,2700,2.06,042660.KS
35720,카카오,0.2,828,40447800,48850,-100,-0.2,035720.KS
33780,KT&G,0.2,220,39160000,178000,5000,2.89,033780.KS
