ticker,name,weight_pct,quantity,market_value_krw,close_price,price_change,return_1w_pct,yfinance_ticker
US46138G6153,INVESCO PHLX SEMICONDUCTOR,27.6,1054.69,127319341.0,120717.0,9786.82,8.82,US46138G6153
KRYZTRSDB102,PHLX Semiconductor Sector Index USD,27.2,125528731.05,125528731.0,,,,KRYZTRSDB102
KRYZTRSD4613,PHLX Semiconductor Sector Index USD,17.6,81221840.95,81221840.0,,,,KRYZTRSD4613
KRYZTRSD4615,PHLX Semiconductor Sector Index USD,9.3,42651310.48,42651310.0,,,,KRYZTRSD4615
KRYZTRSD4617,PHLX Semiconductor Sector Index USD,8.7,40076976.92,40076976.0,,,,KRYZTRSD4617
KRYZTRSD8Y05,PHLX Semiconductor Sector Index USD,4.4,20475999.56,20475999.0,,,,KRYZTRSD8Y05
KRYZTRSDBL07,PHLX Semiconductor Sector Index USD,2.8,13119349.8,13119349.0,,,,KRYZTRSDBL07
,ISHARES SEMICONDUCTOR ETF,2.3,15.73,10556279.0,671092.0,57919.96,9.45,
